"ITTER107","Territorio","TIPO_DATO15","Tipo dato","SEXISTAT1","Sesso","CAUSEMORTE_SL","Causa iniziale di morte - European Short List","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","DEATH","morti","1","maschi","3","malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario","2016","2016",1220,,
"IT","Italia","DEATH","morti","1","maschi","4_2","altre malattie endocrine, nutrizionali e metaboliche","2016","2016",2602,,
"IT","Italia","DEATH","morti","1","maschi","5_2","abuso di alcool (compresa psicosi alcolica)","2016","2016",205,,
"IT","Italia","DEATH","morti","1","maschi","11","malattie del sistema osteomuscolare e del tessuto connettivo","2016","2016",968,,
"IT","Italia","DEATH","morti","1","maschi","12","malattie dell'apparato genitourinario","2016","2016",5027,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2016","2016",348,,
"IT","Italia","DEATH","morti","1","maschi","2","tumori","2016","2016",100003,,
"IT","Italia","DEATH","morti","1","maschi","2_1_2","di cui tumori maligni dell'esofago","2016","2016",1417,,
"IT","Italia","DEATH","morti","1","maschi","2_1_5","di cui tumori maligni del fegato e dei dotti biliari intraepatici","2016","2016",6428,,
"IT","Italia","DEATH","morti","1","maschi","4","malattie endocrine, nutrizionali e metaboliche","2016","2016",12218,,
"IT","Italia","DEATH","morti","1","maschi","5","disturbi psichici e comportamentali","2016","2016",7134,,
"IT","Italia","DEATH","morti","1","maschi","5_3","dipendenza da droghe, tossicomania","2016","2016",79,,
"IT","Italia","DEATH","morti","1","maschi","6_1","morbo di parkinson","2016","2016",3699,,
"IT","Italia","DEATH","morti","1","maschi","11_1","artrite reumatoide a osteoartrosi","2016","2016",240,,
"IT","Italia","DEATH","morti","1","maschi","12_1","malattie del rene e dell'uretere","2016","2016",3847,,
"IT","Italia","DEATH","morti","1","maschi","14","alcune condizioni morbose che hanno origine nel periodo perinatale","2016","2016",482,,
"IT","Italia","DEATH","morti","1","maschi","16_1","sindrome della morte improvvisa nell'infanzia","2016","2016",16,,
"IT","Italia","DEATH","morti","1","maschi","1","alcune malattie infettive e parassitarie","2016","2016",5918,,
"IT","Italia","DEATH","morti","1","maschi","1_3","epatite virale","2016","2016",1302,,
"IT","Italia","DEATH","morti","1","maschi","2_1_20","di cui leucemia","2016","2016",3422,,
"IT","Italia","DEATH","morti","1","maschi","2_2","tumori non maligni (benigni e di comportamento incerto)","2016","2016",4904,,
"IT","Italia","DEATH","morti","1","maschi","4_1","diabete mellito","2016","2016",9616,,
"IT","Italia","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2016","2016",13534,,
"IT","Italia","DEATH","morti","1","maschi","9_1","ulcera dello stomaco, duodeno e digiuno","2016","2016",314,,
"IT","Italia","DEATH","morti","1","maschi","10","malattie della cute e del tessuto sottocutaneo","2016","2016",367,,
"IT","Italia","DEATH","morti","1","maschi","11_2","altre malattie del sistema osteomuscolare e del tessuto connettivo","2016","2016",728,,
"IT","Italia","DEATH","morti","1","maschi","17_4","eventi di intento indeterminato","2016","2016",3,,
"IT","Italia","DEATH","morti","1","maschi","2_1_15","di cui tumori maligni del rene","2016","2016",2422,,
"IT","Italia","DEATH","morti","1","maschi","2_1_21","di cui altri tumori maligni del tessuto linfatico/ematopoietico","2016","2016",1858,,
"IT","Italia","DEATH","morti","1","maschi","7_2","altre malattie del cuore","2016","2016",21618,,
"IT","Italia","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2016","2016",24981,,
"IT","Italia","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2016","2016",13683,,
"IT","Italia","DEATH","morti","1","maschi","17_1_3","di cui annegamento e sommersione accidentali","2016","2016",268,,
"IT","Italia","DEATH","morti","1","maschi","17_2","suicidio e autolesione intenzionale","2016","2016",3039,,
"IT","Italia","DEATH","morti","1","maschi","17_5","altre cause esterne di traumatismo e avvelenamento","2016","2016",289,,
"IT","Italia","DEATH","morti","1","maschi","2_1_17","di cui tumori maligni del cervello e del sistema nervoso centrale","2016","2016",2325,,
"IT","Italia","DEATH","morti","1","maschi","17","cause esterne di traumatismo e avvelenamento","2016","2016",14028,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2016","2016",698,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_4","di cui tumori maligni del colon, del retto e dell'ano","2016","2016",2921,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2016","2016",377,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_10","di cui tumori maligni del seno","2016","2016",42,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","5_2","abuso di alcool (compresa psicosi alcolica)","2016","2016",62,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","6","malattie del sistema nervoso e degli organi di senso","2016","2016",3595,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","6_3","altre malattie del sistema nervoso e degli organi di senso","2016","2016",1397,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2016","2016",3378,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","16","sintomi, segni, risultati anomali e cause mal definite","2016","2016",1202,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","16_3","altri sintomi, segni, risultati anomali e cause mal definite","2016","2016",826,,
"IT","Italia","DEATH","morti","1","maschi","9_2","cirrosi, fibrosi ed epatite cronica","2016","2016",3508,,
"IT","Italia","DEATH","morti","1","maschi","2_1_18","di cui tumori maligni della tiroide","2016","2016",215,,
"IT","Italia","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2016","2016",5870,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_5","di cui tumori maligni del fegato e dei dotti biliari intraepatici","2016","2016",1975,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2016","2016",6880,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_14","di cui tumori maligni della prostata","2016","2016",1960,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","6_1","morbo di parkinson","2016","2016",1095,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7","malattie del sistema circolatorio","2016","2016",24354,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_1_2","du cui altre malattie ischemiche del cuore","2016","2016",5332,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_4","altre malattie del sistema circolatorio","2016","2016",4158,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","16_1","sindrome della morte improvvisa nell'infanzia","2016","2016",3,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17","cause esterne di traumatismo e avvelenamento","2016","2016",3420,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1_2","di cui cadute accidentali","2016","2016",614,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","1","alcune malattie infettive e parassitarie","2016","2016",1793,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_17","di cui tumori maligni del cervello e del sistema nervoso centrale","2016","2016",663,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_20","di cui leucemia","2016","2016",945,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_2","tumori non maligni (benigni e di comportamento incerto)","2016","2016",1354,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_2","polmonite","2016","2016",1848,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2016","2016",3507,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","9_1","ulcera dello stomaco, duodeno e digiuno","2016","2016",95,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","10","malattie della cute e del tessuto sottocutaneo","2016","2016",109,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1_5","di cui altri accidenti","2016","2016",1036,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_4","eventi di intento indeterminato","2016","2016",2,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","1_3","epatite virale","2016","2016",336,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1","tumori maligni","2016","2016",27468,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_3","di cui tumori maligni dello stomaco","2016","2016",1565,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_6","di cui tumori maligni del pancreas","2016","2016",1759,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","4_1","diabete mellito","2016","2016",1977,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","5_1","demenza","2016","2016",1784,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","5_4","altri disturbi psichici e comportamentali","2016","2016",174,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","6_2","malattia di alzheimer","2016","2016",1103,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","11_2","altre malattie del sistema osteomuscolare e del tessuto connettivo","2016","2016",214,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","12_2","altre malattie dell'apparato genitourinario","2016","2016",414,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","15","malformazioni congenite ed anomalie cromosomiche","2016","2016",180,,
"IT","Italia","DEATH","morti","1","maschi","6_3","altre malattie del sistema nervoso e degli organi di senso","2016","2016",4512,,
"IT","Italia","DEATH","morti","1","maschi","16_3","altri sintomi, segni, risultati anomali e cause mal definite","2016","2016",3269,,
"IT","Italia","DEATH","morti","1","maschi","2_1","tumori maligni","2016","2016",95099,,
"IT","Italia","DEATH","morti","1","maschi","6_2","malattia di alzheimer","2016","2016",3743,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_9","di cui melanomi maligni della cute","2016","2016",391,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_15","di cui tumori maligni del rene","2016","2016",707,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_1","malattie ischemiche del cuore","2016","2016",8710,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_2","altre malattie del cuore","2016","2016",5539,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2016","2016",6986,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2016","2016",3530,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","16_2","cause sconosciute e non specificate","2016","2016",373,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1","accidenti","2016","2016",2468,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1_3","di cui annegamento e sommersione accidentali","2016","2016",65,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_2","suicidio e autolesione intenzionale","2016","2016",848,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","1_1","tubercolosi","2016","2016",44,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","1_4","altre malattie infettive e parassitarie","2016","2016",1313,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_18","di cui tumori maligni della tiroide","2016","2016",78,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_21","di cui altri tumori maligni del tessuto linfatico/ematopoietico","2016","2016",532,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","3","malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario","2016","2016",300,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","4_2","altre malattie endocrine, nutrizionali e metaboliche","2016","2016",627,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2016","2016",1567,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","9_2","cirrosi, fibrosi ed epatite cronica","2016","2016",881,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","11","malattie del sistema osteomuscolare e del tessuto connettivo","2016","2016",283,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","12","malattie dell'apparato genitourinario","2016","2016",1354,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_5","altre cause esterne di traumatismo e avvelenamento","2016","2016",66,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2016","2016",100,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2","tumori","2016","2016",28822,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_2","di cui tumori maligni dell'esofago","2016","2016",535,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_22","di cui altri tumori maligni","2016","2016",3269,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","4","malattie endocrine, nutrizionali e metaboliche","2016","2016",2604,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","5","disturbi psichici e comportamentali","2016","2016",2034,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","5_3","dipendenza da droghe, tossicomania","2016","2016",14,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","9_3","altre malattie dell'apparato digerente","2016","2016",2024,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","11_1","artrite reumatoide a osteoartrosi","2016","2016",69,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","12_1","malattie del rene e dell'uretere","2016","2016",940,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","14","alcune condizioni morbose che hanno origine nel periodo perinatale","2016","2016",129,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_16","di cui tumori maligni della vescica","2016","2016",1295,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","2_1_19","di cui morbo di hodgkin e linfomi","2016","2016",876,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","7_3","malattie cerebrovascolari","2016","2016",5947,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_1","influenza","2016","2016",41,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","8_3_1","di cui asma","2016","2016",23,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","9","malattie dell'apparato digerente","2016","2016",3000,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1_1","di cui accidenti di trasporto","2016","2016",671,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_1_4","di cui avvelenamento accidentale","2016","2016",82,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","17_3","omicidio, aggressione","2016","2016",36,,
"ITC","Nord-ovest","DEATH","morti","1","maschi","99","totale","2016","2016",80165,,
"IT","Italia","DEATH","morti","9","totale","2_1_2","di cui tumori maligni dell'esofago","2016","2016",1932,,
"IT","Italia","DEATH","morti","9","totale","2_1_5","di cui tumori maligni del fegato e dei dotti biliari intraepatici","2016","2016",9702,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2016","2016",33838,,
"IT","Italia","DEATH","morti","9","totale","2_1_11","di cui tumori maligni della cervice uterina","2016","2016",509,,
"IT","Italia","DEATH","morti","9","totale","5_3","dipendenza da droghe, tossicomania","2016","2016",93,,
"IT","Italia","DEATH","morti","9","totale","6_1","morbo di parkinson","2016","2016",6708,,
"IT","Italia","DEATH","morti","9","totale","7","malattie del sistema circolatorio","2016","2016",221914,,
"IT","Italia","DEATH","morti","9","totale","7_1_2","du cui altre malattie ischemiche del cuore","2016","2016",43944,,
"IT","Italia","DEATH","morti","9","totale","14","alcune condizioni morbose che hanno origine nel periodo perinatale","2016","2016",891,,
"IT","Italia","DEATH","morti","9","totale","16_1","sindrome della morte improvvisa nell'infanzia","2016","2016",24,,
"IT","Italia","DEATH","morti","9","totale","17","cause esterne di traumatismo e avvelenamento","2016","2016",24352,,
"IT","Italia","DEATH","morti","9","totale","1","alcune malattie infettive e parassitarie","2016","2016",12850,,
"IT","Italia","DEATH","morti","9","totale","1_3","epatite virale","2016","2016",2745,,
"IT","Italia","DEATH","morti","9","totale","2_1","tumori maligni","2016","2016",170286,,
"IT","Italia","DEATH","morti","9","totale","2_1_3","di cui tumori maligni dello stomaco","2016","2016",9281,,
"IT","Italia","DEATH","morti","9","totale","2_2","tumori non maligni (benigni e di comportamento incerto)","2016","2016",9216,,
"IT","Italia","DEATH","morti","9","totale","4_1","diabete mellito","2016","2016",21354,,
"IT","Italia","DEATH","morti","9","totale","5_1","demenza","2016","2016",19875,,
"IT","Italia","DEATH","morti","9","totale","5_4","altri disturbi psichici e comportamentali","2016","2016",1319,,
"IT","Italia","DEATH","morti","9","totale","10","malattie della cute e del tessuto sottocutaneo","2016","2016",1214,,
"IT","Italia","DEATH","morti","9","totale","11_2","altre malattie del sistema osteomuscolare e del tessuto connettivo","2016","2016",2141,,
"IT","Italia","DEATH","morti","9","totale","12_2","altre malattie dell'apparato genitourinario","2016","2016",2512,,
"IT","Italia","DEATH","morti","9","totale","15","malformazioni congenite ed anomalie cromosomiche","2016","2016",1232,,
"IT","Italia","DEATH","morti","9","totale","1_2","aids (malattia da hiv)","2016","2016",460,,
"IT","Italia","DEATH","morti","9","totale","2","tumori","2016","2016",179502,,
"IT","Italia","DEATH","morti","9","totale","2_1_22","di cui altri tumori maligni","2016","2016",20664,,
"IT","Italia","DEATH","morti","9","totale","5","disturbi psichici e comportamentali","2016","2016",21535,,
"IT","Italia","DEATH","morti","9","totale","9","malattie dell'apparato digerente","2016","2016",22643,,
"IT","Italia","DEATH","morti","9","totale","9_3","altre malattie dell'apparato digerente","2016","2016",16191,,
"IT","Italia","DEATH","morti","9","totale","99","totale","2016","2016",618083,,
"IT","Italia","DEATH","morti","9","totale","2_1_9","di cui melanomi maligni della cute","2016","2016",2028,,
"IT","Italia","DEATH","morti","9","totale","2_1_12","di cui tumori maligni di altre parti dell'utero","2016","2016",2621,,
"IT","Italia","DEATH","morti","9","totale","2_1_15","di cui tumori maligni del rene","2016","2016",3717,,
"IT","Italia","DEATH","morti","9","totale","6_2","malattia di alzheimer","2016","2016",11482,,
"IT","Italia","DEATH","morti","9","totale","7_2","altre malattie del cuore","2016","2016",51275,,
"IT","Italia","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2016","2016",46537,,
"IT","Italia","DEATH","morti","9","totale","16_2","cause sconosciute e non specificate","2016","2016",2526,,
"IT","Italia","DEATH","morti","9","totale","17_1","accidenti","2016","2016",19508,,
"IT","Italia","DEATH","morti","9","totale","17_1_3","di cui annegamento e sommersione accidentali","2016","2016",340,,
"IT","Italia","DEATH","morti","9","totale","1_1","tubercolosi","2016","2016",305,,
"IT","Italia","DEATH","morti","9","totale","2_1_18","di cui tumori maligni della tiroide","2016","2016",536,,
"IT","Italia","DEATH","morti","9","totale","2_1_21","di cui altri tumori maligni del tessuto linfatico/ematopoietico","2016","2016",3603,,
"IT","Italia","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2016","2016",23710,,
"IT","Italia","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2016","2016",11674,,
"IT","Italia","DEATH","morti","9","totale","9_2","cirrosi, fibrosi ed epatite cronica","2016","2016",5815,,
"IT","Italia","DEATH","morti","9","totale","17_2","suicidio e autolesione intenzionale","2016","2016",3870,,
"IT","Italia","DEATH","morti","9","totale","17_5","altre cause esterne di traumatismo e avvelenamento","2016","2016",606,,
"IT","Italia","DEATH","morti","9","totale","2_1_14","di cui tumori maligni della prostata","2016","2016",7540,,
"IT","Italia","DEATH","morti","9","totale","2_1_17","di cui tumori maligni del cervello e del sistema nervoso centrale","2016","2016",4163,,
"IT","Italia","DEATH","morti","9","totale","2_1_20","di cui leucemia","2016","2016",6152,,
"IT","Italia","DEATH","morti","9","totale","7_4","altre malattie del sistema circolatorio","2016","2016",46813,,
"IT","Italia","DEATH","morti","9","totale","8_2","polmonite","2016","2016",10837,,
"IT","Italia","DEATH","morti","9","totale","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2016","2016",23235,,
"IT","Italia","DEATH","morti","9","totale","9_1","ulcera dello stomaco, duodeno e digiuno","2016","2016",637,,
"IT","Italia","DEATH","morti","9","totale","17_1_2","di cui cadute accidentali","2016","2016",3826,,
"IT","Italia","DEATH","morti","9","totale","1_4","altre malattie infettive e parassitarie","2016","2016",9340,,
"IT","Italia","DEATH","morti","9","totale","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2016","2016",3216,,
"IT","Italia","DEATH","morti","9","totale","2_1_4","di cui tumori maligni del colon, del retto e dell'ano","2016","2016",19575,,
"IT","Italia","DEATH","morti","9","totale","4_2","altre malattie endocrine, nutrizionali e metaboliche","2016","2016",6293,,
"IT","Italia","DEATH","morti","9","totale","5_2","abuso di alcool (compresa psicosi alcolica)","2016","2016",248,,
"IT","Italia","DEATH","morti","9","totale","6","malattie del sistema nervoso e degli organi di senso","2016","2016",27699,,
"IT","Italia","DEATH","morti","9","totale","6_3","altre malattie del sistema nervoso e degli organi di senso","2016","2016",9509,,
"IT","Italia","DEATH","morti","9","totale","12","malattie dell'apparato genitourinario","2016","2016",10935,,
"IT","Italia","DEATH","morti","9","totale","13","complicazioni della gravidanza, del parto e del puerperio","2016","2016",13,,
"IT","Italia","DEATH","morti","9","totale","16","sintomi, segni, risultati anomali e cause mal definite","2016","2016",12806,,
"IT","Italia","DEATH","morti","9","totale","16_3","altri sintomi, segni, risultati anomali e cause mal definite","2016","2016",10256,,
"IT","Italia","DEATH","morti","9","totale","2_1_10","di cui tumori maligni del seno","2016","2016",12760,,
"IT","Italia","DEATH","morti","9","totale","2_1_13","di cui tumori maligni dell'ovaio","2016","2016",3260,,
"IT","Italia","DEATH","morti","9","totale","2_1_16","di cui tumori maligni della vescica","2016","2016",6230,,
"IT","Italia","DEATH","morti","9","totale","2_1_19","di cui morbo di hodgkin e linfomi","2016","2016",5302,,
"IT","Italia","DEATH","morti","9","totale","7_3","malattie cerebrovascolari","2016","2016",56958,,
"IT","Italia","DEATH","morti","9","totale","8_1","influenza","2016","2016",316,,
"IT","Italia","DEATH","morti","9","totale","8_3_1","di cui asma","2016","2016",475,,
"IT","Italia","DEATH","morti","9","totale","17_3","omicidio, aggressione","2016","2016",364,,
"IT","Italia","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2016","2016",1608,,
"IT","Italia","DEATH","morti","9","totale","4","malattie endocrine, nutrizionali e metaboliche","2016","2016",27647,,
"IT","Italia","DEATH","morti","9","totale","11_1","artrite reumatoide a osteoartrosi","2016","2016",1069,,
"IT","Italia","DEATH","morti","9","totale","12_1","malattie del rene e dell'uretere","2016","2016",8423,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","1","alcune malattie infettive e parassitarie","2016","2016",2118,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","1_3","epatite virale","2016","2016",389,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","2_1_17","di cui tumori maligni del cervello e del sistema nervoso centrale","2016","2016",515,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","2_1_20","di cui leucemia","2016","2016",744,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","2_2","tumori non maligni (benigni e di comportamento incerto)","2016","2016",1164,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","4_1","diabete mellito","2016","2016",2367,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2016","2016",2508,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","9_1","ulcera dello stomaco, duodeno e digiuno","2016","2016",93,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","10","malattie della cute e del tessuto sottocutaneo","2016","2016",244,,
"ITC","Nord-ovest","DEATH","morti","2","femmine","11_2","altre malattie del sistema osteomuscolare e del tessuto connettivo","2016","2016",460,,
